Dev,GDP,T_Expen,Income,Pop,Ed,EtOH,HepB,Polio,Dipt,HIV,BMI,A_Mort,lt5y_D,Th_5-9y,L_Expec
0,279.142931,6.12,0.685,311487.0,10.8,5.16,98.0,97.0,98.0,0.1,49.9,15.0,1,1.8,73.5
0,2416.588235,6.38,0.681,326939.0,10.9,4.54,99.0,98.0,97.0,0.1,48.9,17.0,1,1.9,73.0
0,189.681557,6.27,0.674,339616.0,10.7,4.29,97.0,97.0,97.0,0.1,47.9,18.0,1,2.0,72.8
0,1453.642777,6.3,0.67,3511.0,10.7,3.73,96.0,98.0,98.0,0.1,46.9,15.0,1,2.1,73.3
0,1326.97339,6.0,0.662,36173.0,10.6,4.25,96.0,97.0,97.0,0.1,46.0,14.0,1,2.1,73.6
0,1175.788981,6.26,0.656,38927.0,10.7,3.66,96.0,97.0,97.0,0.1,45.0,11.0,1,2.2,72.6
0,4132.76292,5.9381895280235915,0.743,39871528.0,14.4,4.6028607871720375,95.0,95.0,95.0,0.1,59.5,19.0,24,5.8,75.6
0,547.8517,7.21,0.741,39113313.0,14.4,0.01,95.0,95.0,95.0,0.1,58.4,11.0,24,5.8,75.4
0,5471.866766,7.12,0.737,38338562.0,14.4,0.53,95.0,95.0,95.0,0.1,57.2,112.0,24,5.8,75.3
0,5564.82566,6.14,0.732,37565847.0,14.4,0.66,95.0,95.0,95.0,0.1,56.1,113.0,24,5.8,75.1
0,5432.2523,5.29,0.724,36819558.0,14.0,0.56,95.0,95.0,95.0,0.1,55.0,116.0,24,5.8,74.9
0,4463.394675,5.12,0.714,36117637.0,13.6,0.45,95.0,95.0,95.0,0.1,53.9,119.0,24,5.8,74.7
0,3868.83123,5.36,0.705,3546576.0,13.1,0.5,94.0,94.0,95.0,0.1,52.8,123.0,23,5.9,74.4
0,495.254866,4.2,0.697,3486715.0,12.6,0.46,91.0,92.0,93.0,0.1,51.8,126.0,23,5.9,74.1
0,3935.183343,3.82,0.69,34376.0,12.3,0.44,9.0,95.0,95.0,0.1,5.8,129.0,23,5.9,73.8
0,3464.6179,3.36,0.686,33777915.0,12.3,0.36,8.0,95.0,95.0,0.1,49.8,132.0,23,6.0,73.4
0,31.122378,3.24,0.68,33288437.0,12.0,0.5,83.0,88.0,88.0,0.1,48.9,136.0,22,6.0,72.9
0,2598.9823,3.54,0.673,3283196.0,11.7,0.45,81.0,86.0,86.0,0.1,47.9,14.0,23,6.1,72.3
0,294.33556,3.6,0.663,3243514.0,11.5,0.34,80.94046121593291,87.0,87.0,0.1,47.0,146.0,23,6.1,71.7
0,1774.33673,3.73,0.653,3199546.0,11.1,0.36,80.94046121593291,86.0,86.0,0.1,46.1,145.0,23,6.2,71.6
0,1732.857979,3.84,0.644,31592153.0,10.9,0.23,80.94046121593291,89.0,89.0,0.1,45.3,145.0,24,6.3,71.4
0,1757.17797,3.49,0.636,3118366.0,10.7,0.25,80.94046121593291,86.0,86.0,0.1,44.4,145.0,25,6.4,71.3
0,3695.793748,5.9381895280235915,0.531,2785935.0,11.4,4.6028607871720375,64.0,7.0,64.0,1.9,23.3,335.0,98,8.2,52.4
0,479.31224,3.31,0.527,2692466.0,11.4,8.33,64.0,68.0,64.0,2.0,22.7,348.0,101,8.3,51.7
0,484.616884,4.26,0.523,2599834.0,11.4,8.1,77.0,67.0,77.0,2.3,22.1,355.0,105,8.5,51.1
0,4598.249988,3.3,0.508,259615.0,10.3,8.24,75.0,75.0,75.0,2.6,21.5,358.0,110,8.6,56.0
0,4299.12889,3.38,0.495,24218565.0,9.4,8.06,72.0,73.0,71.0,2.5,21.0,361.0,115,8.8,51.0
0,3529.53482,3.39,0.488,23369131.0,9.0,7.8,77.0,81.0,77.0,2.5,2.4,365.0,121,9.0,49.6
0,3347.84485,4.37,0.48,22549547.0,8.5,7.01,61.0,63.0,6.0,2.5,19.8,369.0,127,9.2,49.1
0,3868.578883,3.84,0.468,2175942.0,8.1,7.07,69.0,65.0,69.0,2.6,19.3,371.0,133,9.4,48.7
0,2878.837144,3.38,0.454,2997687.0,7.7,6.35,73.0,75.0,73.0,2.6,18.8,375.0,138,9.6,48.2
0,262.415149,4.54,0.439,2262399.0,7.2,5.84,80.94046121593291,36.0,34.0,2.5,18.2,381.0,143,9.7,47.7
0,1443.991929,4.1,0.426,19552542.0,6.8,5.04,80.94046121593291,39.0,38.0,2.6,17.7,382.0,148,9.9,47.4
0,141.86844,4.71,0.415,18865716.0,6.4,3.53,80.94046121593291,4.0,4.0,2.5,17.2,386.0,152,1.1,47.1
0,779.468356,4.41,0.406,1823369.0,5.9,3.49,80.94046121593291,4.0,4.0,2.4,16.8,388.0,155,1.3,46.8
0,711.181716,3.63,0.401,17572649.0,5.5,2.82,80.94046121593291,37.0,41.0,2.3,16.3,391.0,157,1.5,46.5
0,526.168743,5.38,0.391,16983266.0,5.1,2.58,80.94046121593291,41.0,38.0,2.1,15.8,44.0,159,1.7,45.7
0,555.2969419,2.79,0.382,1644924.0,4.6,1.85,80.94046121593291,3.0,28.0,2.0,15.4,48.0,160,1.9,45.3
0,13566.9541,5.9381895280235915,0.784,12753375.120052498,13.9,4.6028607871720375,99.0,86.0,99.0,0.2,47.7,13.0,0,3.3,76.4
0,12888.29667,5.54,0.782,12753375.120052498,13.9,8.56,99.0,96.0,99.0,0.2,47.0,131.0,0,3.3,76.2
0,12224.86416,5.33,0.781,12753375.120052498,13.9,8.58,99.0,98.0,99.0,0.2,46.4,133.0,0,3.3,76.1
0,12565.44197,5.39,0.778,12753375.120052498,13.8,8.18,98.0,97.0,98.0,0.2,45.7,134.0,0,3.3,75.9
0,11929.34991,5.65,0.782,12753375.120052498,14.1,7.84,99.0,99.0,99.0,0.1,45.1,136.0,0,3.3,75.7
0,12126.87614,5.63,0.783,12753375.120052498,14.1,7.84,98.0,99.0,98.0,0.1,44.4,138.0,0,3.3,75.6
0,1312.46692,4.86,0.788,12753375.120052498,14.2,7.82,98.0,98.0,99.0,0.1,43.8,14.0,0,3.3,75.4
0,1473.31923,4.69,0.786,12753375.120052498,14.4,8.27,98.0,99.0,99.0,0.1,43.2,142.0,0,3.3,75.2
0,14252.29452,4.27,0.781,12753375.120052498,14.5,8.64,97.0,98.0,99.0,0.1,42.6,144.0,0,3.3,75.0
0,12724.39377,4.34,0.773,12753375.120052498,14.7,8.93,99.0,99.0,99.0,0.1,42.0,145.0,0,3.4,74.8
0,11371.93895,4.41,0.0,12753375.120052498,0.0,8.15,99.0,98.0,99.0,0.1,41.4,147.0,0,3.4,74.6
0,1352.8374,4.21,0.0,12753375.120052498,0.0,7.28,97.0,97.0,97.0,0.1,4.8,149.0,0,3.4,74.4
0,9739.82556,4.53,0.0,12753375.120052498,0.0,7.16,99.0,99.0,99.0,0.1,4.1,151.0,0,3.5,74.2
0,9386.716452,4.41,0.0,12753375.120052498,0.0,7.21,99.0,93.0,98.0,0.1,39.5,153.0,0,3.5,74.0
0,9358.154162,4.48,0.0,12753375.120052498,0.0,7.51,96.0,99.0,97.0,0.1,38.9,154.0,0,3.5,73.8
0,9875.161736,4.13,0.0,12753375.120052498,0.0,7.27,80.94046121593291,96.0,95.0,0.1,38.2,156.0,0,3.6,73.6
0,13467.1236,5.9381895280235915,0.826,43417765.0,17.3,4.6028607871720375,94.0,93.0,94.0,0.1,62.8,116.0,9,0.9,76.3
0,12245.25645,4.79,0.825,42981515.0,17.3,7.93,94.0,92.0,94.0,0.1,62.2,118.0,9,0.9,76.2
0,12976.63642,4.99,0.823,42539925.0,17.3,8.28,94.0,99.0,94.0,0.1,61.6,119.0,10,0.9,76.0
0,12969.7712,5.2,0.822,4296739.0,17.2,8.35,91.0,99.0,91.0,0.1,61.0,12.0,10,0.9,75.9
0,12726.9836,5.89,0.816,41656879.0,17.1,8.11,91.0,93.0,91.0,0.1,6.4,12.0,10,0.9,75.7
0,1276.265,6.55,0.802,41223889.0,16.8,8.15,94.0,95.0,94.0,0.1,59.8,121.0,11,0.9,75.5
0,8161.36966,7.63,0.794,479947.0,16.5,8.33,94.0,97.0,94.0,0.1,59.2,126.0,11,0.9,75.6
0,8953.359275,6.66,0.792,4382389.0,16.3,8.41,9.0,94.0,93.0,0.1,58.6,126.0,11,0.9,75.4
0,7193.61764,6.49,0.788,3997224.0,16.3,8.16,85.0,92.0,91.0,0.1,58.0,129.0,12,0.9,74.8
0,5878.76127,6.68,0.782,3955889.0,16.1,7.75,84.0,92.0,91.0,0.1,57.5,127.0,12,0.9,75.2
0,576.883829,6.85,0.78,39145488.0,16.3,7.53,88.0,95.0,98.0,0.1,56.9,127.0,12,1.0,74.9
0,4251.574348,6.84,0.775,38728696.0,16.3,7.63,81.0,91.0,98.0,0.1,56.3,13.0,12,1.0,74.7
0,333.4376,8.22,0.77,3839379.0,16.4,7.62,73.0,95.0,96.0,0.1,55.7,137.0,13,1.0,74.1
0,2579.193168,8.31,0.776,3788937.0,16.3,7.81,66.0,94.0,93.0,0.1,55.1,138.0,13,1.0,74.1
0,717.694674,9.38,0.771,3747159.0,15.6,7.76,80.94046121593291,85.0,83.0,0.1,54.6,138.0,13,1.1,74.0
0,7669.273916,9.21,0.764,3757452.0,15.0,7.68,80.94046121593291,88.0,83.0,0.1,54.0,137.0,14,1.1,74.1
0,369.654776,5.9381895280235915,0.741,291695.0,12.7,4.6028607871720375,94.0,96.0,94.0,0.1,54.9,118.0,1,2.2,74.8
0,3994.712355,4.48,0.739,29622.0,12.7,3.91,93.0,95.0,93.0,0.1,54.1,12.0,1,2.1,74.6
0,3843.591213,4.55,0.736,289359.0,12.7,3.79,95.0,96.0,95.0,0.1,53.3,123.0,1,2.1,74.4
0,3684.8481,4.48,0.732,2881922.0,12.7,3.89,95.0,96.0,95.0,0.1,52.6,121.0,1,2.1,74.4
0,3526.978143,3.71,0.729,2875581.0,12.7,4.09,95.0,96.0,95.0,0.1,51.9,128.0,1,2.1,73.9
0,3218.381655,4.56,0.72,2877311.0,12.3,4.23,94.0,96.0,94.0,0.1,51.2,132.0,1,2.1,73.5
0,2993.832531,4.55,0.725,2888584.0,11.9,3.96,93.0,94.0,93.0,0.1,5.7,137.0,1,2.1,73.3
0,41.26997,3.8,0.721,29822.0,12.3,3.96,89.0,91.0,89.0,0.1,5.1,14.0,1,2.1,73.2
0,3138.8873,4.31,0.707,293356.0,11.7,3.99,85.0,9.0,88.0,0.1,49.7,132.0,1,2.1,73.5
0,2158.299,4.58,0.692,29585.0,11.2,4.01,78.0,87.0,87.0,0.1,49.2,141.0,1,2.1,72.9
0,1643.758397,5.25,0.679,2981259.0,10.9,4.25,91.0,92.0,9.0,0.1,48.8,137.0,1,2.1,73.0
0,1191.96192,5.5,0.668,3612.0,10.9,3.81,91.0,93.0,91.0,0.1,48.4,132.0,1,2.1,73.0
0,93.1661567,5.56,0.657,31786.0,10.8,3.03,93.0,96.0,94.0,0.1,48.1,134.0,1,2.1,72.7
0,783.261699,5.4,0.645,333897.0,10.8,2.86,91.0,96.0,94.0,0.1,47.8,134.0,1,2.1,72.6
0,694.435119,5.94,0.644,35655.0,11.1,2.86,69.0,97.0,94.0,0.1,47.4,141.0,1,2.1,72.6
0,622.7427477,6.25,0.639,369588.0,11.2,2.9,55.0,96.0,93.0,0.1,47.1,142.0,1,2.2,72.0
1,56554.3876,5.9381895280235915,0.937,23789338.0,20.4,4.6028607871720375,93.0,93.0,93.0,0.1,66.6,59.0,1,0.6,82.8
1,62214.6912,9.42,0.936,2346694.0,20.4,9.71,91.0,92.0,92.0,0.1,66.1,6.0,1,0.6,82.7
1,67792.3386,9.36,0.933,23117353.0,20.3,9.87,91.0,91.0,91.0,0.1,65.5,61.0,1,0.6,82.5
1,67677.63477,9.36,0.93,22728254.0,20.1,10.03,91.0,92.0,92.0,0.1,65.0,61.0,1,0.6,82.3
1,62245.129,9.2,0.927,223424.0,19.8,10.3,92.0,92.0,92.0,0.1,64.4,63.0,1,0.6,82.0
1,51874.848,9.2,0.927,223175.0,19.5,10.52,92.0,92.0,92.0,0.1,63.9,64.0,1,0.6,81.9
1,42742.99898,9.5,0.925,216917.0,19.1,10.62,94.0,92.0,92.0,0.1,63.4,66.0,1,0.6,81.7
1,49664.6854,8.78,0.921,212492.0,19.1,10.76,94.0,92.0,92.0,0.1,62.9,66.0,1,0.6,81.3
1,4991.98289,8.53,0.918,28276.0,19.0,10.56,94.0,92.0,92.0,0.1,62.5,66.0,2,0.6,81.3
1,36118.28381,8.49,0.915,26979.0,20.3,10.31,95.0,92.0,92.0,0.1,62.0,66.0,2,0.6,81.2
1,3416.71483,8.45,0.91,23948.0,20.3,10.3,95.0,92.0,92.0,0.1,61.5,67.0,2,0.6,81.0
1,3472.37977,8.57,0.908,21274.0,20.7,9.84,95.0,92.0,92.0,0.1,6.9,69.0,1,0.6,86.0
1,23465.38559,8.32,0.905,198954.0,20.6,9.97,95.0,92.0,93.0,0.1,6.3,71.0,1,0.7,83.0
1,281.81763,8.39,0.902,196514.0,20.1,9.84,95.0,92.0,92.0,0.1,59.6,73.0,2,0.7,79.9
1,19517.84168,8.18,0.899,19413.0,20.5,9.53,94.0,91.0,92.0,0.1,59.0,75.0,2,0.7,79.9
1,2169.921,8.8,0.897,19153.0,20.4,10.17,80.94046121593291,9.0,9.0,0.1,58.2,78.0,2,0.7,79.5
1,43665.947,5.9381895280235915,0.892,8633169.0,15.9,4.6028607871720375,93.0,93.0,93.0,0.1,57.6,65.0,0,2.1,81.5
1,51322.63997,11.21,0.892,8541575.0,15.9,12.32,98.0,98.0,98.0,0.1,57.1,66.0,0,2.0,81.4
1,554.71532,11.14,0.887,8479375.0,15.7,11.82,95.0,95.0,95.0,0.1,56.6,68.0,0,2.0,81.1
1,48333.57273,11.17,0.884,8429991.0,15.7,12.26,92.0,92.0,92.0,0.1,56.1,7.0,0,2.0,88.0
1,51126.74139,1.94,0.88,8391643.0,15.7,12.04,89.0,89.0,89.0,0.1,55.7,73.0,0,2.0,88.0
1,46657.629,11.17,0.872,836344.0,15.4,12.1,86.0,86.0,86.0,0.1,55.2,75.0,0,1.9,84.0
1,47654.18721,11.19,0.87,8343323.0,15.3,11.3,83.0,83.0,83.0,0.1,54.7,77.0,0,1.9,82.0
1,51386.37665,1.6,0.864,8321496.0,15.1,12.0,83.0,83.0,83.0,0.1,54.2,76.0,0,1.9,84.0
1,46586.6525,1.4,0.86,8295487.0,15.2,12.5,85.0,85.0,85.0,0.1,53.7,8.0,0,1.9,81.0
1,443.99361,1.35,0.854,8268641.0,15.0,12.4,83.0,83.0,83.0,0.1,53.2,81.0,0,1.9,79.8
1,38242.4252,1.53,0.848,8227829.0,14.9,12.4,86.0,86.0,86.0,0.1,52.7,85.0,0,1.9,79.4
1,36693.4262,1.56,0.841,8171966.0,14.7,12.1,83.0,83.0,83.0,0.1,52.2,86.0,0,1.9,79.3
1,3212.9355,1.48,0.837,8121423.0,14.7,12.2,83.0,84.0,84.0,0.1,51.7,88.0,0,1.9,78.8
1,26351.37568,1.27,0.847,881957.0,16.1,12.5,81.0,82.0,83.0,0.1,51.2,9.0,0,1.9,78.7
1,24489.73553,1.12,0.837,842293.0,15.5,12.4,44.0,83.0,84.0,0.1,5.6,92.0,0,1.9,78.6
1,24517.26745,1.6,0.833,811566.0,15.4,13.2,33.0,71.0,81.0,0.1,5.1,96.0,0,1.9,78.1
0,55.31382,5.9381895280235915,0.758,9649341.0,12.7,4.6028607871720375,96.0,98.0,96.0,0.1,52.5,118.0,6,2.9,72.7
0,7891.299776,6.4,0.752,953579.0,12.2,0.01,94.0,97.0,94.0,0.1,51.5,119.0,6,2.9,72.5
0,7875.756953,5.54,0.745,941681.0,11.9,2.14,93.0,96.0,93.0,0.1,5.6,121.0,6,2.8,72.2
0,7496.335728,5.37,0.742,9295784.0,11.8,0.01,88.0,92.0,89.0,0.1,49.7,123.0,6,2.8,71.9
0,7189.691229,5.1,0.741,917382.0,11.7,1.98,84.0,91.0,87.0,0.1,48.8,125.0,6,2.9,71.6
0,5842.85784,5.33,0.737,954332.0,11.7,1.98,8.0,85.0,81.0,0.1,48.0,13.0,6,2.9,71.1
0,495.294791,5.85,0.728,8947243.0,11.6,2.1,74.0,84.0,81.0,0.1,47.3,132.0,6,2.9,78.0
0,5574.6382,4.37,0.719,87634.0,11.6,1.18,68.0,85.0,81.0,0.1,46.6,141.0,6,2.9,73.0
0,3851.437869,5.1,0.708,85813.0,11.6,1.02,62.0,81.0,79.0,0.1,45.9,14.0,7,2.9,73.0
0,2473.85776,6.17,0.682,848455.0,10.7,0.85,52.0,8.0,78.0,0.1,45.3,154.0,7,2.9,69.2
0,1578.4239,7.86,0.675,839185.0,11.2,0.73,49.0,79.0,75.0,0.1,44.7,162.0,7,3.0,68.4
0,145.2163,7.92,0.668,8365.0,11.0,0.62,5.0,78.0,77.0,0.1,44.2,154.0,8,3.0,68.4
0,883.6439965,6.56,0.659,82341.0,10.8,0.55,51.0,79.0,77.0,0.1,43.6,154.0,8,3.0,67.8
0,763.73858,4.47,0.651,817195.0,10.6,0.55,5.0,8.0,76.0,0.1,43.1,146.0,9,3.1,67.8
0,73.6838434,4.48,0.642,81112.0,10.4,0.51,80.94046121593291,77.0,77.0,0.1,42.6,151.0,10,3.1,67.5
0,655.974326,4.67,0.636,8486.0,10.1,0.65,80.94046121593291,75.0,76.0,0.1,42.1,16.0,11,3.1,66.6
0,7483.158469138481,5.9381895280235915,0.79,12753375.120052498,12.6,4.6028607871720375,95.0,95.0,95.0,0.1,64.5,147.0,0,2.5,76.1
0,7483.158469138481,7.74,0.789,12753375.120052498,12.6,9.45,96.0,96.0,96.0,0.1,63.8,16.0,0,2.5,75.4
0,7483.158469138481,7.5,0.79,12753375.120052498,12.6,9.42,97.0,97.0,97.0,0.1,63.2,172.0,0,2.5,74.8
0,7483.158469138481,7.43,0.789,12753375.120052498,12.6,9.5,96.0,99.0,98.0,0.2,62.6,167.0,0,2.5,74.9
0,7483.158469138481,7.63,0.788,12753375.120052498,12.6,9.34,95.0,97.0,98.0,0.1,62.0,162.0,0,2.5,75.0
0,7483.158469138481,7.44,0.788,12753375.120052498,12.6,9.19,98.0,97.0,99.0,0.2,61.3,161.0,0,2.5,75.0
0,7483.158469138481,7.43,0.791,12753375.120052498,12.6,9.29,95.0,97.0,96.0,0.1,6.7,168.0,0,2.5,74.6
0,7483.158469138481,7.3,0.791,12753375.120052498,12.6,10.15,9.0,93.0,93.0,0.1,6.1,167.0,0,2.5,74.5
0,7483.158469138481,7.8,0.79,12753375.120052498,12.5,10.75,93.0,95.0,95.0,0.1,59.4,167.0,0,2.5,74.4
0,7483.158469138481,6.93,0.788,12753375.120052498,12.4,11.07,96.0,94.0,95.0,0.1,58.7,171.0,0,2.5,74.2
0,7483.158469138481,5.95,0.786,12753375.120052498,12.4,10.49,93.0,93.0,93.0,0.1,58.1,172.0,0,2.5,74.1
0,7483.158469138481,6.2,0.784,12753375.120052498,12.3,10.1,93.0,92.0,93.0,0.1,57.4,174.0,0,2.5,73.8
0,7483.158469138481,5.62,0.783,12753375.120052498,12.2,10.68,88.0,93.0,92.0,0.1,56.7,189.0,0,2.5,73.2
0,7483.158469138481,5.26,0.781,12753375.120052498,12.1,10.85,89.0,93.0,94.0,0.1,56.0,19.0,0,2.6,73.1
0,7483.158469138481,5.15,0.779,12753375.120052498,12.1,11.64,21.0,98.0,99.0,0.2,55.2,189.0,0,2.6,72.9
0,7483.158469138481,5.21,0.0,12753375.120052498,12.0,12.15,80.94046121593291,91.0,99.0,0.1,54.4,192.0,0,2.6,72.6
0,22688.87824,5.9381895280235915,0.823,12753375.120052498,14.5,4.6028607871720375,98.0,98.0,98.0,0.1,63.6,69.0,0,6.1,76.9
0,24983.3792,4.98,0.82,12753375.120052498,14.5,1.57,98.0,98.0,98.0,0.1,62.9,7.0,0,6.0,76.8
0,251.18329,4.69,0.815,12753375.120052498,14.5,1.65,99.0,99.0,99.0,0.1,62.2,7.0,0,6.0,76.7
0,23649.36661,4.37,0.812,12753375.120052498,14.5,1.7,99.0,99.0,99.0,0.1,61.5,71.0,0,6.0,76.5
0,2281.1242,3.4,0.812,12753375.120052498,14.4,1.66,99.0,99.0,99.0,0.1,6.8,76.0,0,6.0,76.1
0,2722.1389,3.64,0.81,12753375.120052498,14.4,1.93,99.0,99.0,99.0,0.1,6.1,73.0,0,5.9,76.1
0,19356.67236,3.79,0.814,12753375.120052498,14.4,1.95,98.0,97.0,98.0,0.1,59.3,74.0,0,5.9,76.0
0,2367.56535,3.17,0.815,12753375.120052498,14.4,2.0,97.0,97.0,97.0,0.1,58.5,76.0,0,5.9,75.8
0,2977.1153,3.8,0.813,12753375.120052498,14.4,2.0,97.0,97.0,97.0,0.1,57.6,77.0,0,5.9,75.6
0,1937.99549,3.8,0.81,12753375.120052498,14.2,2.1,98.0,98.0,98.0,0.1,56.8,79.0,0,5.9,75.5
0,17959.17854,3.16,0.806,12753375.120052498,14.0,2.05,98.0,98.0,98.0,0.1,56.1,81.0,0,5.9,75.3
0,15846.47641,3.37,0.803,12753375.120052498,13.9,2.16,98.0,98.0,98.0,0.1,55.6,83.0,0,5.9,75.2
0,14221.99259,3.74,0.798,12753375.120052498,13.7,2.16,98.0,97.0,97.0,0.1,55.2,85.0,0,5.9,75.0
0,1312.33457,3.89,0.796,12753375.120052498,13.5,1.99,98.0,98.0,98.0,0.1,55.0,87.0,0,5.9,74.9
0,12868.211,3.8,0.794,12753375.120052498,13.3,1.95,99.0,99.0,99.0,0.1,54.8,9.0,0,6.0,74.7
0,13636.34668,3.51,0.786,12753375.120052498,13.2,2.15,97.0,97.0,97.0,0.1,54.5,92.0,0,6.0,74.5
0,121.15812,5.9381895280235915,0.575,1612886.0,10.2,4.6028607871720375,97.0,97.0,97.0,0.1,18.3,129.0,113,18.3,71.8
0,184.56543,2.82,0.57,15945279.0,10.0,0.01,97.0,97.0,97.0,0.1,17.7,132.0,121,18.6,71.4
0,951.8894535,2.88,0.565,157571292.0,10.0,0.01,96.0,96.0,96.0,0.1,17.0,135.0,130,18.8,71.0
0,856.342857,3.8,0.557,15572753.0,9.9,0.01,94.0,94.0,94.0,0.1,16.4,137.0,139,19.0,77.0
0,835.789341,3.16,0.545,153911916.0,9.4,0.01,96.0,96.0,96.0,0.1,15.8,14.0,150,19.2,73.0
0,757.6717572,3.6,0.535,15214912.0,8.9,0.01,94.0,94.0,94.0,0.1,15.2,142.0,161,19.4,69.9
0,681.125368,2.91,0.523,1545478.0,8.4,0.01,97.0,97.0,97.0,0.1,14.6,144.0,173,19.7,69.5
0,615.7775411,2.85,0.52,14885814.0,8.6,0.01,96.0,96.0,96.0,0.1,14.0,147.0,186,19.9,69.1
0,541.651484,2.8,0.513,147139191.0,8.6,0.01,95.0,96.0,94.0,0.1,13.5,151.0,201,2.1,68.6
0,494.51466,2.8,0.506,1453684.0,8.4,0.01,86.0,95.0,94.0,0.1,13.0,152.0,215,2.3,68.2
0,484.155471,2.68,0.499,14343111.0,8.2,0.01,45.0,94.0,93.0,0.1,12.5,155.0,231,2.5,67.8
0,46.7579167,2.62,0.491,14137489.0,8.1,0.01,11.0,88.0,99.0,0.1,12.0,158.0,247,2.7,67.3
0,432.7388972,2.51,0.484,139191.0,7.9,0.01,5.0,9.0,87.0,0.1,11.6,161.0,264,2.9,66.8
0,4.6135745,2.59,0.476,1366667.0,7.7,0.01,80.94046121593291,83.0,83.0,0.1,11.2,164.0,280,21.1,66.3
0,42.5981152,2.47,0.468,1341716.0,7.5,0.01,80.94046121593291,85.0,85.0,0.1,1.8,168.0,298,21.3,65.8
0,45.63371,2.33,0.459,131581243.0,7.3,0.01,80.94046121593291,83.0,82.0,0.1,1.4,173.0,316,21.5,65.3
0,15557.8381,5.9381895280235915,0.794,12753375.120052498,15.3,4.6028607871720375,97.0,97.0,97.0,0.1,54.5,98.0,0,3.7,75.5
0,15359.66971,7.47,0.793,12753375.120052498,15.3,8.82,94.0,95.0,94.0,0.1,53.7,1.0,0,3.7,75.4
0,15472.7814,7.57,0.792,12753375.120052498,15.3,8.74,91.0,91.0,91.0,0.1,53.0,11.0,0,3.8,75.2
0,15384.8749,7.43,0.785,12753375.120052498,15.3,8.61,87.0,88.0,87.0,0.1,52.2,12.0,0,3.8,75.1
