Year,Status,AdultMort,InfD,EtOH,PercExpen,Measles,BMI,lt5yD,Polio,TotalExpen,DTP,HIV,Thin1_19y,Thin5_9y,Income,Education,Region
2003,0,15.0,16,4.25,417.8038898,0,49.0,19,92.0,5.92,92.0,0.1,2.5,2.2,0.659,11.6,3
2011,0,147.0,3,3.39,321.6132593,0,5.9,3,99.0,6.39,98.0,0.1,1.8,1.8,0.62,11.5,8
2006,0,337.0,3,7.28,827.5979335,0,2.5,4,52.0,2.13,4.0,5.3,9.7,9.6,0.569,9.0,7
2006,0,56.0,17,1.54,46.90117916,3,18.6,26,47.0,3.99,51.0,10.0,9.6,9.6,0.323,6.0,8
2002,1,115.0,28,8.33,0.0,41,61.7,33,9.0,14.55,94.0,0.1,0.8,0.6,0.6274187138728308,11.999638728323692,4
2008,0,121.0,25,1.39,22.67271848,0,6.2,29,96.0,6.7,96.0,0.1,5.0,4.8,0.705,12.5,2
2001,0,17.0,3,11.45,0.0,23060,25.2,4,99.0,4.76,97.0,0.1,1.6,1.1,0.6274187138728308,11.999638728323692,8
2000,0,292.0,9,6.0,112.541157,245,43.9,10,96.0,4.16,97.0,0.1,2.7,2.7,0.676,12.1,1
2007,0,194.0,29,0.2,52.22906505,1415,14.9,38,82.0,5.84,82.0,0.2,17.2,17.8,0.486,10.0,1
2011,1,85.0,0,11.92,3108.288623,2,58.8,0,97.0,1.7,97.0,0.1,0.7,0.5,0.818,16.2,5
2005,0,127.0,11,7.53,96.16653429,0,56.9,12,95.0,6.85,98.0,0.1,1.1,1.0,0.78,16.3,3
2001,0,87.0,0,0.76,170.0494537,23,63.3,0,93.0,2.56,93.0,0.1,4.8,4.5,0.809,12.6,2
2008,0,138.0,11,4.85,58.4989742,1,5.8,14,93.0,4.73,93.0,0.3,1.2,1.2,0.7,13.2,3
2004,0,99.0,0,4.25,3.479918859,28,49.9,0,87.0,9.4,84.0,0.1,3.0,3.0,0.0,12.3,5
2000,0,15.0,0,8.59,397.7533689,0,55.5,0,96.0,7.22,99.0,0.1,0.9,0.9,0.847,17.3,5
2015,1,66.0,0,8.7,0.0,10,67.5,0,92.0,5.9301628423390005,92.0,0.1,0.4,0.3,0.913,19.2,6
2001,0,39.0,42,1.49,25.55981288,13476,2.1,64,81.0,3.56,79.0,3.5,9.0,9.0,0.485,8.0,7
2004,0,148.0,8,3.65,16.37920405,0,46.5,9,9.0,6.22,88.0,0.3,1.5,1.3,0.682,12.7,3
2001,0,186.0,0,4.73,0.0,0,41.0,0,99.0,3.64,99.0,0.7,3.9,3.9,0.673,12.8,8
2008,0,287.0,3,2.79,0.0,0,22.8,6,96.0,5.95,96.0,3.0,8.6,8.5,0.426,8.6,7
2002,1,75.0,0,5.73,1552.740429,7,63.4,0,95.0,7.86,95.0,0.1,0.7,0.7,0.786,13.8,5
2005,0,177.0,13,6.26,321.1953005,3526,22.6,15,98.0,3.55,98.0,0.5,8.9,9.1,0.682,12.0,1
2008,0,174.0,0,1.97,0.0,0,65.2,0,88.0,12.94,85.0,0.1,0.2,0.2,0.628,11.2,6
2005,1,89.0,0,12.27,5068.214488,26,6.2,1,97.0,9.24,97.0,0.1,0.8,0.8,0.861,15.7,5
2013,0,196.0,20,0.26,11.8385319,17,23.2,28,89.0,4.51,92.0,0.3,9.9,9.7,0.474,8.7,7
2007,0,99.0,9,0.1,1307.89002,4648,61.6,10,96.0,3.49,96.0,0.1,7.2,7.3,0.773,12.7,2
2012,1,57.0,0,7.4,10947.02327,30,58.1,0,98.0,11.8,98.0,0.1,1.4,1.3,0.903,15.8,5
2009,1,66.0,2,9.99,5047.254058,41,62.9,2,96.0,9.52,96.0,0.1,0.6,0.5,0.858,16.3,5
2001,0,178.0,0,9.61,81.11355954,0,38.2,0,96.0,7.67,96.0,0.1,4.2,4.2,0.0,14.3,8
2004,0,132.0,33,1.35,1.132766775,8927,56.8,39,85.0,5.37,85.0,0.1,5.1,4.9,0.675,12.0,2
2012,1,138.0,2,9.58,1078.358105,7450,58.4,2,92.0,5.48,91.0,0.1,2.8,3.0,0.797,15.3,5
2014,0,268.0,39,0.01,8.386339501,343,18.8,63,91.0,4.96,91.0,0.6,8.2,7.7,0.398,7.7,7
2007,0,132.0,1,9.3,772.8700353,201,55.1,1,93.0,1.2,94.0,0.1,2.4,2.4,0.743,13.5,5
2011,1,8.0,0,10.11,713.5297354,576,62.3,1,98.0,1.42,98.0,0.1,0.9,0.9,0.884,16.1,5
2009,1,66.0,1,10.62,7172.275229,104,63.4,1,92.0,9.5,92.0,0.1,0.7,0.6,0.925,19.1,6
2015,0,335.0,66,4.614855575868398,0.0,118,23.3,98,7.0,5.9301628423390005,64.0,1.9,8.3,8.2,0.531,11.4,7
2015,0,225.0,136,4.614855575868398,0.0,17745,17.6,194,75.0,5.9301628423390005,77.0,0.6,1.4,1.2,0.441,8.4,7
2015,0,373.0,2,4.614855575868398,0.0,0,32.3,3,84.0,5.9301628423390005,9.0,7.1,4.0,4.1,0.541,11.4,7
2014,0,22.0,5,6.29,24.44473709,321,52.3,5,95.0,4.36,95.0,0.1,2.4,2.5,0.789,15.0,1
2001,0,429.0,52,7.38,365.2585722,1166,4.9,76,71.0,8.31,71.0,24.0,15.4,18.1,0.629,13.0,7
2007,0,282.0,16,12.19,11.02617159,173,56.1,19,98.0,5.38,98.0,0.3,2.4,2.6,0.761,13.8,8
2010,0,36.0,89,4.19,0.0,167,2.7,131,94.0,5.3,91.0,4.6,7.1,7.1,0.6274187138728308,11.999638728323692,8
2008,0,94.0,0,10.26,678.88112,5,59.4,0,97.0,8.35,99.0,0.1,0.9,0.8,0.876,17.1,5
2008,0,85.0,1,1.86,4003.908598,55,54.8,1,94.0,2.93,92.0,0.1,5.1,4.9,0.829,13.1,2
2015,0,88.0,0,4.614855575868398,0.0,1677,55.8,0,74.0,5.9301628423390005,82.0,0.1,2.3,2.3,0.747,14.2,5
2001,0,269.0,3,0.5,6.556583478,0,12.3,4,82.54829838432451,3.75,82.3214162942592,0.1,12.1,12.2,0.47,9.8,6
2003,1,15.0,0,14.21,2283.891796,8,52.5,1,96.0,9.54,99.0,0.1,0.7,0.6,0.789,15.8,5
2014,0,7.0,0,1.57,367.2556742,46,62.9,0,98.0,4.98,98.0,0.1,6.1,6.0,0.82,14.5,2
2007,0,175.0,0,1.64,0.0,0,64.7,0,79.0,11.99,79.0,0.1,0.2,0.2,0.625,11.0,6
2012,0,181.0,2,2.48,591.7757569,0,54.1,2,93.0,6.7,92.0,0.3,1.6,1.6,0.67,13.2,8
2000,1,114.0,28,8.21,0.0,85,6.1,33,9.0,13.7,94.0,0.1,0.8,0.7,0.6274187138728308,11.999638728323692,4
2002,0,79.0,2,7.7,3895.856308,6,59.3,2,88.0,9.37,88.0,0.1,0.5,0.4,0.872,15.8,4
2014,0,113.0,4,0.41,63.8784522,20,64.8,4,98.0,7.45,98.0,0.1,3.9,3.9,0.737,13.1,2
2001,0,48.0,574,9.58,15.830985,168107,17.3,936,36.0,3.25,27.0,5.1,14.1,14.1,0.0,8.0,7
2010,0,298.0,6,0.61,17.35739784,51,16.0,9,9.0,3.24,9.0,0.9,8.9,8.8,0.404,5.1,7
2007,1,63.0,2,8.37,5228.821581,321,59.4,2,97.0,8.48,97.0,0.1,0.5,0.5,0.862,16.1,5
2009,0,14.0,10,4.69,570.4532468,0,51.5,13,92.0,5.36,93.0,0.3,1.2,1.2,0.706,13.3,3
2010,1,53.0,0,8.25,6005.575763,0,58.9,0,96.0,8.86,96.0,0.1,0.9,0.9,0.894,18.4,5
2014,0,148.0,2,3.55,473.1238124,0,53.2,3,99.0,9.4,98.0,0.1,1.8,1.7,0.636,11.6,8
2004,0,161.0,10,7.55,0.0,0,55.9,11,83.0,4.78,86.0,0.1,1.7,1.6,0.687,11.6,3
2013,0,96.0,1,4.18,95.67571176,0,59.9,1,99.0,9.48,99.0,0.1,3.4,3.3,0.773,14.7,8
2014,0,371.0,23,6.5,10.82259524,0,31.3,34,92.0,6.44,91.0,6.3,5.9,5.7,0.498,10.3,7
2004,1,91.0,1,12.05,5160.508378,61,59.8,1,96.0,9.32,95.0,0.1,0.8,0.8,0.88,18.8,5
2015,0,142.0,42,4.614855575868398,0.0,214,56.1,47,98.0,5.9301628423390005,96.0,0.1,2.7,2.6,0.754,15.2,3
2002,0,263.0,2,2.43,55.60878216,1205,39.8,2,98.0,5.81,98.0,0.1,2.4,2.5,0.599,10.1,1
2010,0,142.0,126,0.01,62.65945432,788,15.2,161,94.0,3.6,94.0,0.1,18.9,19.4,0.535,8.9,1
2010,0,171.0,10,0.32,43.34099958,0,36.6,12,95.0,6.4,93.0,0.2,3.7,3.8,0.603,11.1,1
2014,0,152.0,8,6.41,789.0772949,0,32.4,10,99.0,4.12,99.0,0.1,7.8,7.8,0.737,13.6,1
2006,1,66.0,0,8.84,2380.699796,1,65.6,0,83.0,8.93,85.0,0.1,0.7,0.7,0.809,14.8,5
2014,0,99.0,1,1.32,140.3771361,112,65.4,1,75.0,6.39,81.0,0.1,4.8,4.9,0.763,13.3,2
2005,0,278.0,5,7.31,217.4345257,2392,56.4,6,95.0,6.41,96.0,0.9,2.7,2.8,0.707,14.5,5
2011,0,27.0,47,0.33,21.23698847,2046,2.5,61,9.0,1.87,84.0,0.5,13.0,13.3,0.526,9.1,1
2013,0,147.0,0,0.01,917.467628,0,32.3,0,98.0,4.82,98.0,0.1,7.0,7.0,0.765,14.7,7
2001,0,352.0,46,0.01,0.0,3571,18.2,75,33.0,5.9301628423390005,33.0,0.8,7.9,7.7,0.6274187138728308,11.999638728323692,2
2004,0,336.0,3,6.28,44.54768305,38,19.8,4,48.0,2.4,38.0,4.4,1.0,1.0,0.553,8.5,7
2000,0,144.0,30,0.2,0.0,726,49.5,37,83.0,5.9301628423390005,8.0,0.1,5.6,5.4,0.603,8.6,2
2010,0,89.0,2,7.93,177.4925143,0,6.6,2,92.0,6.97,92.0,0.1,0.8,0.9,0.815,15.2,3
2008,0,162.0,11,5.92,609.9511632,7790,25.7,13,99.0,3.92,99.0,0.3,8.5,8.6,0.7,12.9,1
2004,0,125.0,4,0.54,32.52523612,21,57.0,4,95.0,9.5,95.0,0.1,3.9,3.8,0.723,13.5,2
2009,0,134.0,29,3.86,0.0,6582,13.4,35,97.0,6.4,96.0,0.1,14.6,15.5,0.641,11.7,1
2010,1,153.0,2,9.0,983.2518091,193,56.9,2,94.0,5.83,94.0,0.1,3.0,3.2,0.797,15.8,5
2000,0,16.0,0,0.37,11.79686108,42,26.1,0,99.0,3.5,99.0,0.1,6.8,6.3,0.818,13.4,8
2013,0,81.0,3,11.1,6646.953935,272,61.6,3,99.0,11.56,99.0,0.1,0.6,0.6,0.887,16.2,5
2011,0,86.0,2,7.26,211.614293,6,61.2,2,93.0,7.0,94.0,0.1,0.8,0.8,0.82,15.4,3
2010,0,127.0,7,0.78,0.0,26,52.3,9,83.0,3.28,8.0,0.1,6.4,6.1,0.65,11.7,2
2003,0,134.0,9,1.29,94.75639211,801,46.0,11,85.0,5.12,83.0,0.1,6.6,6.4,0.599,10.3,2
2013,0,118.0,1,6.89,1694.467075,0,56.3,1,81.0,8.9,8.0,0.1,1.9,1.9,0.773,12.9,8
2008,0,127.0,1,6.74,956.8229765,0,52.7,2,86.0,6.75,86.0,0.1,2.0,2.0,0.75,12.8,8
2014,0,285.0,13,0.01,4.877350139,577,23.7,20,85.0,5.25,87.0,1.0,6.6,6.4,0.475,12.0,7
2008,0,76.0,0,2.0,231.5478912,2,58.5,0,97.0,3.17,97.0,0.1,6.0,5.9,0.815,14.4,2
2006,0,176.0,0,1.73,0.0,0,64.1,0,81.0,11.92,67.0,0.1,0.2,0.2,0.622,10.9,6
2015,0,177.0,0,4.614855575868398,0.0,0,5.5,0,99.0,5.9301628423390005,98.0,0.1,1.1,1.2,0.514,9.6,6
2003,0,98.0,0,9.31,3869.026302,0,57.1,0,96.0,8.15,98.0,0.1,0.9,0.8,0.866,18.1,5
2010,0,279.0,74,0.01,79.67936736,1989,16.7,102,66.0,9.2,66.0,0.1,18.4,18.4,0.448,9.2,2
2007,0,132.0,1,3.99,44.57219966,1,49.7,1,9.0,4.31,88.0,0.1,2.0,2.1,0.707,11.7,5
2000,0,136.0,10,1.41,81.7274712,146,43.9,12,86.0,4.92,84.0,0.1,6.8,6.6,0.588,10.0,2
2015,0,263.0,62,0.01,71.27962362,1154,19.1,83,6.0,8.16,65.0,0.1,17.2,17.3,0.479,10.1,2
2006,0,98.0,307,3.28,29.74342979,99602,24.9,360,94.0,4.52,93.0,0.1,4.8,4.3,0.646,11.0,1
2002,0,174.0,0,3.3,208.1688437,0,67.4,0,85.0,5.1,86.0,0.1,0.2,0.2,0.653,12.1,6
2006,0,361.0,24,4.5,21.24915339,784,14.5,36,88.0,11.49,92.0,3.8,8.1,8.2,0.29,5.9,7
2006,0,152.0,164,0.01,42.3304549,6192,13.0,215,95.0,2.8,94.0,0.1,19.7,2.3,0.506,8.4,1
2015,0,98.0,0,4.614855575868398,0.0,0,54.5,0,97.0,5.9301628423390005,97.0,0.1,3.8,3.7,0.794,15.3,8
2007,0,144.0,14,4.66,780.5946749,0,52.0,17,93.0,6.25,93.0,0.1,2.3,2.1,0.675,11.9,3
2005,0,137.0,1,4.25,20.21822828,2281,48.8,1,92.0,5.25,9.0,0.1,2.0,2.1,0.679,10.9,5
2006,0,434.0,78,1.2,58.59644487,183,18.9,113,73.0,6.51,78.0,16.3,3.8,3.7,0.353,7.9,7
2002,0,167.0,1,3.76,211.1143318,0,43.5,1,99.0,4.86,99.0,2.3,2.0,1.8,0.69,11.7,8
2006,0,431.0,3,4.94,459.1572399,3,28.7,4,74.0,7.2,86.0,19.2,12.6,12.6,0.57,11.4,7
2012,0,12.0,0,8.61,260.0043858,0,52.2,0,88.0,7.43,87.0,0.1,3.8,3.8,0.785,15.3,8
2010,0,233.0,35,0.06,0.0,510,37.2,45,77.0,5.17,76.0,0.1,13.7,13.7,0.488,8.5,2
2000,1,147.0,0,11.06,0.0,0,5.7,1,98.0,5.5,99.0,0.1,1.6,1.7,0.761,13.0,5
2005,0,29.0,57,0.55,60.21211141,33,18.0,101,78.0,6.34,77.0,1.9,9.9,9.7,0.338,5.8,7
2012,0,239.0,13,0.01,9.774676411,75,19.5,18,98.0,7.68,98.0,0.7,6.1,6.1,0.475,10.5,7
2006,1,177.0,1,13.16,1299.459306,1,59.3,1,99.0,8.1,99.0,0.1,2.0,2.0,0.802,15.2,5
2008,0,167.0,0,16.99,225.0723618,0,56.7,0,95.0,6.6,95.0,0.1,2.0,2.1,0.835,16.1,5
2000,0,149.0,4,0.54,23.37167228,6187,26.0,5,98.0,3.4,98.0,0.1,9.8,9.6,0.715,11.6,1
2009,0,31.0,2,8.64,52.31086276,0,33.0,3,74.0,3.43,76.0,8.0,6.7,6.5,0.652,12.4,7
2012,1,6.0,2,7.49,4793.904924,376,62.1,2,96.0,9.28,97.0,0.1,0.5,0.6,0.877,16.6,5
2005,0,37.0,5,3.1,22.09757984,0,2.1,8,73.0,5.72,68.0,5.4,9.2,9.0,0.0,8.0,7
2015,0,78.0,0,4.614855575868398,0.0,4,41.2,0,99.0,5.9301628423390005,99.0,0.1,5.7,5.1,0.864,14.9,8
2010,0,138.0,1,3.55,396.6270975,0,5.5,1,94.0,5.3,94.0,0.5,1.8,1.7,0.721,12.7,8
2009,0,15.0,13,4.34,941.6464045,0,53.5,15,92.0,7.1,92.0,0.1,2.2,2.0,0.691,12.4,3
2004,0,397.0,26,6.75,31.93566186,386,14.9,42,89.0,6.24,89.0,7.7,6.9,7.1,0.371,8.2,7
2011,0,12.0,9,8.11,1504.329462,3,6.4,10,93.0,5.89,91.0,0.1,1.0,0.9,0.816,17.1,3
2006,0,41.0,93,9.81,50.83901418,5736,14.8,145,62.0,9.86,64.0,8.6,6.4,6.4,0.434,10.6,7
2006,0,133.0,1,8.58,541.8243468,2,54.5,1,97.0,8.99,92.0,0.1,2.5,2.5,0.739,13.4,5
2014,0,217.0,7,2.9,691.1333535,0,47.7,8,98.0,2.7,98.0,0.1,3.3,3.3,0.683,10.8,1
2006,0,288.0,41,1.7,129.0263364,420,23.0,62,84.0,4.64,84.0,2.9,7.9,7.9,0.51,8.7,7
2005,0,28.0,33,0.2,4.259752532,5023,13.9,44,78.0,5.72,75.0,0.2,17.6,18.2,0.469,9.4,1
2002,0,343.0,7,0.83,0.703132179,460,13.1,10,92.0,4.2,9.0,1.9,9.9,9.9,0.0,4.4,7
2012,0,195.0,0,0.01,431.4854874,0,6.2,0,99.0,4.16,99.0,0.1,4.0,3.7,0.714,14.9,6
2012,0,13.0,3,1.3,585.8776761,48,58.3,3,97.0,7.18,97.0,0.1,6.4,6.3,0.717,14.6,2
2012,0,72.0,0,1.13,5163.32918,160,67.0,0,93.0,2.16,92.0,0.1,5.1,4.7,0.837,13.4,2
2002,0,19.0,0,10.85,0.0,0,56.0,0,93.0,5.26,94.0,0.1,2.6,2.6,0.781,12.1,8
2000,0,121.0,2,5.58,9.87102142,0,45.9,2,99.0,7.76,98.0,0.2,2.4,2.3,0.716,12.1,8
2007,1,94.0,0,12.57,333.3569124,0,55.7,0,96.0,9.62,97.0,0.1,0.7,0.5,0.797,15.4,5
2001,0,225.0,0,0.01,88.62945822,0,54.3,0,94.0,4.85,94.0,0.1,2.4,2.5,0.781,15.0,5
2015,0,195.0,4,4.614855575868398,0.0,105,61.3,5,51.0,5.9301628423390005,23.0,0.2,2.3,2.4,0.748,15.3,5
2011,1,79.0,0,10.47,10251.10872,84,57.4,0,91.0,1.87,91.0,0.1,1.1,0.9,0.91,16.9,5
2015,0,95.0,1,4.614855575868398,0.0,0,6.5,1,92.0,5.9301628423390005,92.0,0.1,1.7,1.7,0.775,14.2,8
2003,1,72.0,2,9.3,3519.258515,10982,57.0,3,97.0,8.17,96.0,0.1,0.5,0.5,0.841,15.4,5
2012,0,79.0,0,0.01,3192.634413,1,38.2,0,99.0,2.3,99.0,0.1,5.8,5.3,0.852,14.4,8
2014,0,217.0,0,7.64,4.141293345,0,45.9,1,97.0,5.25,98.0,0.3,5.5,5.3,0.636,10.3,3
2005,0,224.0,4,2.81,0.0,53,38.0,4,98.0,5.82,98.0,0.1,3.4,3.4,0.612,12.4,1
2009,0,21.0,0,4.13,11.13608747,0,26.2,0,99.0,6.65,98.0,0.9,6.3,6.2,0.533,10.1,7
2012,0,68.0,2,8.3,9748.636237,10,65.3,2,99.0,1.78,95.0,0.1,0.5,0.5,0.907,15.9,4
2011,0,127.0,1,8.14,198.94876,64,52.8,1,88.0,9.38,94.0,0.1,2.6,2.8,0.742,13.3,5
2012,0,232.0,3,0.01,796.8734263,86,33.3,4,84.0,8.24,84.0,3.7,9.5,9.4,0.619,11.5,7
2009,0,218.0,1,8.45,0.0,0,49.9,1,87.0,12.49,85.0,0.1,2.9,3.1,0.6274187138728308,11.999638728323692,5
2000,0,82.0,2,7.6,3787.49456,206,57.8,2,88.0,8.67,89.0,0.1,0.5,0.5,0.864,15.9,4
2006,0,185.0,23,1.96,77.27092119,823,38.1,27,94.0,5.49,96.0,0.4,3.2,3.2,0.626,11.8,1
2013,0,345.0,26,4.614855575868398,47.44453,525,38.235393646408745,40,5.0,2.62,45.0,3.6,4.850621546961334,4.881422651933698,0.417,4.9,7
2008,0,218.0,1,7.32,493.3279293,0,4.9,1,93.0,7.46,93.0,0.8,5.6,5.4,0.618,10.7,3
2014,0,79.0,3,11.5,6739.677606,267,62.0,3,98.0,11.54,98.0,0.1,0.6,0.6,0.89,16.2,5
2015,0,133.0,0,4.614855575868398,0.0,0,75.2,0,8.0,5.9301628423390005,78.0,0.1,0.1,0.1,0.718,14.3,6
2008,1,68.0,1,9.62,10873.40554,109,57.9,1,97.0,9.57,97.0,0.1,1.0,0.9,0.905,16.8,5
2001,0,14.0,1,4.25,96.20557078,18,46.0,1,97.0,6.0,97.0,0.1,2.1,2.1,0.662,10.6,5
2005,1,112.0,28,8.52,0.0,66,63.8,33,92.0,15.15,96.0,0.1,0.7,0.6,0.6274187138728308,11.999638728323692,4
2011,0,183.0,19,2.83,140.6905284,476,41.4,22,99.0,5.65,99.0,0.1,3.0,3.1,0.664,12.0,1
2009,0,219.0,59,4.42,159.5348489,1469,22.1,76,86.0,4.41,87.0,0.1,1.0,9.7,0.661,11.7,1
2009,0,88.0,0,0.25,1873.686852,2,35.2,0,99.0,2.85,99.0,0.1,6.0,5.5,0.841,14.1,8
2001,0,194.0,13,0.86,1.142003812,38,31.6,16,84.0,4.59,85.0,0.3,4.1,4.1,0.535,9.7,1
2008,0,168.0,2,0.06,36.69198927,0,14.7,3,79.0,0.74,79.0,0.1,11.7,11.7,0.566,11.7,6
2009,0,161.0,9,3.35,0.0,0,29.7,11,98.0,5.9301628423390005,93.0,0.1,5.3,5.3,0.6274187138728308,11.999638728323692,1
2008,0,45.0,31,2.12,153.6783754,140,19.7,49,9.0,4.87,87.0,11.9,6.8,6.7,0.504,11.4,7
2006,0,161.0,70,7.1,30.30374691,57,48.6,79,99.0,8.36,99.0,0.1,3.1,3.1,0.698,13.8,3
2015,0,72.0,0,4.614855575868398,0.0,1,66.5,0,99.0,5.9301628423390005,99.0,0.1,0.8,0.7,0.865,17.2,5
2014,0,135.0,0,0.01,565.9672173,0,74.8,0,82.0,5.18,8.0,0.1,0.1,0.1,0.716,14.3,6
2002,0,186.0,27,1.47,24.99438738,25,35.9,32,99.0,5.44,99.0,0.2,3.3,3.3,0.6,11.0,1
2008,1,155.0,1,10.98,107.9826127,1,61.5,1,96.0,6.61,95.0,0.1,2.1,2.1,0.761,13.8,5
2000,0,43.0,93,1.14,47.17250718,7375,16.5,136,69.0,6.16,7.0,12.2,4.2,4.1,0.291,5.4,7
2004,0,176.0,57,0.16,0.0,80,52.9,70,97.0,5.21,97.0,0.1,3.3,3.2,0.623,11.2,2
2009,0,147.0,0,11.09,0.0,0,43.0,0,95.0,8.12,95.0,0.1,4.3,4.4,0.717,12.7,8
2007,1,65.0,0,7.45,2578.888314,2,66.1,0,76.0,8.36,74.0,0.1,0.7,0.7,0.808,14.4,5
2003,0,185.0,0,7.41,843.1186662,0,28.7,0,99.0,4.64,99.0,0.1,6.1,6.5,0.713,12.1,7
2008,0,194.0,2,2.68,53.95949877,0,51.4,3,98.0,6.21,98.0,0.3,1.8,1.7,0.659,13.4,8
2011,0,241.0,31,0.97,78.79967196,0,18.5,43,73.0,4.24,73.0,0.4,7.5,7.4,0.504,10.2,7
2010,0,98.0,1,4.13,787.2808163,0,57.7,1,99.0,1.19,96.0,0.1,3.4,3.2,0.784,17.6,8
2010,0,349.0,2,5.99,547.0386679,853,35.2,3,96.0,5.64,95.0,6.2,8.0,7.8,0.669,12.3,7
2015,0,147.0,3,4.614855575868398,0.0,0,51.0,4,97.0,5.9301628423390005,97.0,0.3,2.1,2.1,0.623,11.2,8
2004,0,472.0,64,3.08,0.0,3466,21.5,91,76.0,5.24,67.0,6.5,7.3,7.3,0.6274187138728308,11.999638728323692,7
2015,0,138.0,3,4.614855575868398,0.0,1568,23.4,3,99.0,5.9301628423390005,99.0,0.1,15.1,15.0,0.764,14.0,1
2010,0,254.0,25,1.33,94.25737917,392,23.0,39,77.0,4.95,76.0,1.4,7.8,7.6,0.451,9.5,7
2013,0,22.0,0,0.01,137.2591943,0,76.7,0,91.0,1.15,95.0,0.1,0.1,0.1,0.589,11.9,6
2005,0,169.0,0,8.8,119.5548694,0,4.5,0,99.0,5.5,99.0,0.1,3.9,4.0,0.0,14.9,8
